row,section,company,sector_hq,trigger_dated,pitch_this_person,what_they_own,what_to_sell,odds
183,"A. Just raised, and the founder still owns the story",Arintra,"Healthcare revenue cycle AI, US","$25m Series B, August 2026, led by Define Ventures. Total funding $51m. Founded 2020, Y Combinator backed. Works with health systems representing over $50bn in combined patient revenue.","Nitesh Shroff, co-founder and CEO","Selling denial prevention to hospital CFOs. That sale turns on one ROI slide, and in most healthtech decks it sits at fourteen behind a product tour.","The CFO-facing economic case: ROI slide, the one-pager the CFO forwards to their board, and the health-system sales deck",Good
184,"A. Just raised, and the founder still owns the story",Tandem Health,"Clinical AI, Stockholm","$100m (EUR 86.5m) Series B, 14 September 2026, led by the Scaleup Europe Fund managed by EQT, with Kinnevik, Northzone, Amino Collective and Visionaries. Founded 2023.","Lukas Saari, co-founder and CEO. Oscar Boldt-Christmas is co-founder and CCO, which makes him the better second door for anything commercial.","Turning an AI scribe into a full clinic operating system, sold across multiple European health systems in multiple languages.","A master deck built to survive translation, plus country-level sales collateral. This is a template problem, not an art problem.",Good
185,"A. Just raised, and the founder still owns the story",Penelope Health,"Payer policy intelligence, London","$100m (EUR 87m), September 2026, from Thoreau plus Bertelsmann Healthcare Investments, Twine Ventures and Seedcamp, alongside a platform partnership with Thoreau. Covers policies for over 200 million Americans across 15,000+ procedure and drug codes.","Dr. Sohum Patel, co-founder and CEO","A London company selling US payer intelligence. The product spans revenue cycle, prior authorisation, appeals, payer competitive intelligence and device field sales. Five buyers, five stories, one deck.",Splitting one overloaded deck into buyer-specific versions off a shared template,Good
186,"A. Just raised, and the founder still owns the story",MIND,"Data loss prevention, Seattle","$72m Series B, 17 September 2026, led by Crosspoint Capital Partners with YL Ventures and Paladin Capital. Total $112m. Barak previously founded Hexadite and sold it to Microsoft in June 2017.","Eran Barak, co-founder and CEO",A second-time founder who has sold a company to Microsoft. He knows what good looks like and will not tolerate a generic pitch. Security sales decks live on the before-and-after diagram.,"The before-and-after diagram, then the enterprise security deck. Raised one day before this list was written.",Good
187,"A. Just raised, and the founder still owns the story",Luzern Risk,"Captive insurance, US","$45m Series B, 17 September 2026, led by Insight Partners with Trust Ventures and Caffeinated Capital. Founded 2023.","Gabriel Weiss, co-founder and CEO. Jonathan York is the other co-founder.","Captive insurance is sold purely by explaining it, and most captive decks read like a policy document. Broker decks and client decks want different things and usually get the same file.","Making the explanation visual, then splitting broker and client versions",Good
188,"A. Just raised, and the founder still owns the story",Happy Health,"Home-based care, US","$75m Series A, August 2026, led by ARCH Venture Partners and OpenLoop. Clinical-grade smart ring, starting with sleep apnea diagnosis.","Dr. Dustin Freckleton, founder and CEO","A physician founder selling a hardware plus care model into a market that will ask about reimbursement on slide two. Consumer product, clinical claims, employer and payer buyers.",The clinical evidence story rendered for three different audiences,Good
189,"A. Just raised, and the founder still owns the story",dtcpay,"Stablecoin payments, Singapore","Series A extended to $25m, 18 September 2026, with Japan's SBI Group joining as strategic investor. Vertex Ventures SEA and India led the first tranche in April 2026. Capital named for a revamped enterprise business portal.","Alice Liu, founder and CEO. Band Zhao is chairman.","Explaining stablecoin settlement to traditional finance buyers, in one sentence, on a slide. The enterprise portal launch will need collateral that does not exist yet.","Enterprise onboarding decks and product one-pagers, before the portal ships",Good
190,"A. Just raised, and the founder still owns the story",Yuno,"Payment orchestration, Colombia","$45m Series B, 12 August 2026, led by Global PayTech Ventures with Andreessen Horowitz, Tiger Global, QuantumLight, Monashees, Kaszek, Rasmal, GrowthX and Further Ventures. Capital named for international expansion and the path to profitability. Founded 2022.","Juan Pablo Ortega, co-founder and CEO",Enterprise merchant sales in several markets and languages simultaneously. Regional teams will rebuild the deck locally and break the layout.,"A locked master template regional teams cannot break, in three languages",Good
191,"A. Just raised, and the founder still owns the story",Chift,"Financial connectivity, Brussels","EUR 10.5m Series A, September 2026, after more than tenfold revenue growth since a EUR 2.3m seed in 2024.","Founder and CEO. Name not verified in this research, so confirm before writing.",Tenfold growth on a seed round means the story that raised the Series A was told with almost no design budget. That changes now.,First real sales deck and investor update template,Good
192,"A. Just raised, and the founder still owns the story",Rillet,"AI-native ERP, US","$100m Series C, 21 August 2026, led by ICONIQ with Sequoia, a16z, Bain Capital Ventures, Oak HC/FT, Battery, FirstMark, Scale and Creandum. $1bn valuation, closed in 48 hours. Total over $200m.","Nicolas Kopp, co-founder and CEO. Stelios Modes is co-founder and CTO.","Kopp said publicly he wants to ""give CFOs back their weekends"", and that the ERP must become ""the operating layer for what happens next"". He has a thesis and a phrase for it, which is unusual and useful.","Series C brings three deck habits at once: analyst briefings, enterprise procurement and a quarterly board pack. The board pack is the one that never stops.",Fair
