row,tier,sector,company,location,trigger,what_to_sell,contact_route,evidence_quality
101,Tier 1,"Healthcare, pharma and medical communications",Avalere Health,"Remote, hubs in London, Manchester, Philadelphia, New York, Washington DC","Live posting: Freelance Presentation Designer, Healthcare Communications, $75 to $90 an hour. The company says it is ""building a curated network of freelance professionals"" and lets them ""choose how and where they work"". 1,500+ staff across Consulting, Medical, Policy, Marketing.","Join the roster. Scientific data into charts, custom PowerPoint templates, infographics. This is the single best-fit row on the whole list.","Apply through the posting, then find the Creative or Studio lead on LinkedIn once you are in the system",Strong
102,Tier 1,"Healthcare, pharma and medical communications",Vue Health (VUE Health Insights),"Boston, remote","Two live freelance postings at once: Presentation Designer (Freelance) and Digital Designer, Freelance/Hourly. Five open roles total. The brief is explicit: ""new business pitch presentations, executive-level client presentations, strategic workshops"". They ask applicants to send an hourly rate and availability.","New business pitch decks. They are asking you to name your price, which is rare and worth answering properly.","Apply via their BambooHR careers page, cc the Creative Director on LinkedIn",Strong
103,Tier 1,"Healthcare, pharma and medical communications",Spectrum Science,"Washington DC, remote USA","Live posting: Freelance Pharma Advertising PowerPoint Designer. Scope covers ""PPT decks for pitches, workshops, sales meetings"". Agency experience listed as a hard requirement. Motion and animation in PowerPoint valued.","PowerPoint with motion. If you can animate a mechanism-of-action sequence in native PPT, lead with that.","Jobvite posting, then the Creative Operations lead",Strong
104,Tier 1,"Healthcare, pharma and medical communications","Syneos Health, Boldsky Creative Studio",Remote,"Five freelance and contract creative roles live simultaneously: Freelance Brand Designer at $55 an hour, Freelance Senior Designer, Freelance Senior Experience Designer, Freelance Associate Creative Director Art, and a contract Learning Creator. Boldsky ""supports more than 12+ Syneos Health marketing and communication agencies"".","One roster, twelve agencies behind it. Highest ceiling in Tier 1 if you get through.","commercialcareers.syneoshealth.com, then the Boldsky studio lead",Strong
105,Tier 1,"Healthcare, pharma and medical communications",Maricich Health,"Remote, US","Live posting: Freelancer Graphic Designer, Healthcare-Focused Projects, for ""existing and upcoming projects"". Clients span health systems, medical groups, payers and life sciences.","Healthcare advertising craft. They named the specialism, so show only healthcare work.","Apply, then the agency principal directly. Small agency, short chain of command.",Strong
106,Tier 1,"Healthcare, pharma and medical communications",Included Health,"Remote, US","Live posting: Production Designer (Contract), six months. Scope is ""approved design concepts into pixel-perfect, press-ready files across various channels"".",Production and print. Less glamorous than pitch decks and considerably more repeatable.,"Lever posting, then the Brand or Creative lead",Strong
107,Tier 1,"Healthcare, pharma and medical communications","A New York academic medical center, hiring through The Hired Guns","Remote, part time","Live gig: Presentation Designer, $40 to $60 an hour, part time, fully remote, for an institution with 50,000 employees and 8,000 doctors.","Ongoing part-time deck work for a very large provider. The recruiter is the door, not the obstacle.","The Hired Guns, gig 6737",Strong
108,Tier 1,"Healthcare, pharma and medical communications",PrescriberPoint,"US, startup","Live posting: Sr. Marketing Design Lead (Start up Healthtech), covering ""brand system development"". A company hiring someone to build the brand system does not have one yet.","Brand system foundations, then the sales and investor decks that hang off it.","Greenhouse posting, then the founder or Head of Marketing",Strong
109,Tier 1,"Healthcare, pharma and medical communications",HealthMinds Consulting,Remote,"Live posting for a designer to ""design and produce brand-aligned marketing assets (graphics, video, motion, icons) for a healthcare company"", covering web, email, social and print.",Full collateral suite for one healthcare client.,Job board application,Medium
110,Tier 1,"Healthcare, pharma and medical communications",Remedy Edge,"Spain, remote",Live posting: Freelance Senior Graphic Designer.,"European healthcare design work, useful for time-zone spread.",Job board application,Medium
