id,segment,prospect,type,location,buying_trigger,trigger_date,what_to_sell,contact_role,channel,priority,status,notes
1,A - Hiring signal,Suffolk (Suffolk Construction),Construction (~$9B rev; 3000 staff; 17 offices),"Boston, MA",Posted Presentation Designer role; on-site 4 days/wk; $78k-$106k,Aug 2026,RFP & pursuit decks; bid presentations; PPT template system,Creative Director / Marketing Director / Proposal Manager,LinkedIn + Email,High,,Brief says "elevate content not just format slides"
2,A - Hiring signal,Allied Sports (Allied Global Marketing),Sports & partnership marketing agency,"New York, NY",Posted Presentation & Brand Designer (Experiential); hybrid 3/2; $75k-$85k,Aug 2026,Sponsorship sales decks; partnership pitch decks,Creative Director / VP Partnership Marketing,LinkedIn + Email,High,,Tagline "Sponsor to Storyteller"
3,A - Hiring signal,Oracle,Enterprise software,"Denver, CO + remote",Posted Presentation Designer & Visual Storyteller AND Sr Presentation Design Strategist (remote),2026,Data viz; executive decks; PPT template/design system,"Director, Consumer Insights & Analytics / Creative Lead",LinkedIn,High,,Brief names scalable PowerPoint template systems
4,A - Hiring signal,Momentum Worldwide,Experiential/brand agency (IPG),NYC + global,Listed among companies hiring presentation designers,Aug 2026,Brand experience pitch decks; new-business RFP responses,Creative Director / Head of New Business,LinkedIn,High,,
5,A - Hiring signal,Prophet (Prophet Brand Strategy),Growth & brand consultancy,SF / NYC / Chicago / London,Listed among companies hiring presentation designers,Aug 2026,Strategy decks; consulting report design,Design Director / Studio Manager,LinkedIn,High,,
6,A - Hiring signal,On Board Experiential,Experiential marketing agency,SF / NYC,Listed among companies hiring presentation designers,Aug 2026,Brand activation pitch decks; sponsorship proposals,Creative Director / New Business Lead,LinkedIn,Medium,,
7,A - Hiring signal,Interdependence,PR & communications agency,"Remote-first, US",Listed among companies hiring presentation designers,Aug 2026,New business decks; campaign recap decks,Creative Director,LinkedIn,Medium,,
8,A - Hiring signal,Associated Press,Global news agency,"New York, NY",Listed among companies hiring presentation designers,Aug 2026,Data visualisation; commercial decks; media kits,Design Director / Head of Brand,LinkedIn,Medium,,
9,A - Hiring signal,Unbridled,Events & experiential agency,"Denver, CO",Presentation Designer role listed,2026,Event proposal decks; client pitch decks; sponsor decks,Creative Director,LinkedIn,Medium,,
10,A - Hiring signal,Michael Baker International,Engineering & consulting (AEC),"Pittsburgh, PA + US-wide",Advertising Proposal Specialist roles covering proposals and presentations,2026,Federal/state RFP design; qualifications packages; pursuit decks,Proposal Manager / Marketing Director,LinkedIn + Email,Medium,,
11,A - Hiring signal,"Premier, Inc.",Healthcare improvement company,"Charlotte, NC",Posted Pursuit Support Specialist (RFP Management) - role coordinates with graphic designers,2026,RFP graphics; pursuit decks; one-pagers,Pursuit / Proposal Manager,LinkedIn,Medium,,
12,A - Hiring signal,NK Architects,Architecture firm,"Morristown, NJ",Hiring for RFP/RFQ response production plus marketing comms,2026,RFP/RFQ layout; qualifications packages; project one-pagers,Marketing Manager / Principal,LinkedIn + Email,Medium,,
